project_type,structure_type,work_item,unit,coefficient,source_notes
factory,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
dc,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
dc,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
dc,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
dc,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
dc,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
dc,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
dc,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
dc,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
dc,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
dc,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
dc,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
dc,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
dc,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
dc,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
dc,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
dc,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
dc,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
dc,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
dc,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
dc,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
dc,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
dc,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
dc,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
dc,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
dc,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
dc,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
school,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
school,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
school,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
school,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
school,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
school,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
school,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
school,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
school,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
school,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
school,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
school,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
school,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
school,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
school,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
school,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
school,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
school,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
school,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
school,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
school,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
school,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
school,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
school,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
school,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
school,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
school,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
school,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
school,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
school,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
school,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
school,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
school,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
school,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
school,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
school,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
school,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
school,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
warehouse,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
warehouse,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
warehouse,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
warehouse,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
mall,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
mall,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
mall,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
mall,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
mall,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
mall,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
mall,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
mall,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
mall,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
mall,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
mall,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
mall,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
mall,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
mall,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
mall,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
mall,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
mall,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
mall,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
mall,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
mall,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
mall,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
mall,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
mall,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
mall,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
mall,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
mall,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
mall,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
parking,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
parking,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
parking,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
parking,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
parking,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
parking,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
parking,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
parking,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
parking,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
parking,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
parking,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
parking,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
parking,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
parking,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
parking,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
parking,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
parking,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
parking,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
parking,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
parking,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
parking,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
parking,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
parking,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
parking,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
parking,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
parking,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
parking,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
logistics,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
